coordinate,x,y,overall,arctic
0.000,0.000000,0.000000,0.238894,0.493598
0.001,0.000000,0.000000,0.238894,0.493598
0.002,0.000000,0.000000,0.238894,0.493598
0.003,0.000000,0.000000,0.238894,0.493598
0.004,0.000000,0.000000,0.238894,0.493598
0.005,0.000000,0.000000,0.238894,0.493598
0.006,0.000000,0.000000,0.238894,0.493598
0.007,0.000000,0.000000,0.238894,0.493598
0.008,0.000000,0.000000,0.238894,0.493598
0.009,0.000000,0.000000,0.238894,0.493598
0.010,0.000000,0.000000,0.238894,0.493598
0.011,0.000000,0.000000,0.238894,0.493598
0.012,0.000000,0.000000,0.238894,0.493598
0.013,0.000000,0.000000,0.238894,0.493598
0.014,0.000000,0.000000,0.238894,0.493598
0.015,0.000000,0.036786,0.238894,0.000000
0.016,0.000000,0.036786,0.238894,0.000000
0.017,0.000000,0.036786,0.238894,0.000000
0.018,0.000000,0.036786,0.238894,0.000000
0.019,0.000000,0.036786,0.238894,0.000000
0.020,0.000000,0.036786,0.238894,0.000000
0.021,0.000000,0.036786,0.238894,0.000000
0.022,0.000000,0.036786,0.238894,0.000000
0.023,0.000000,0.036786,0.238894,0.000000
0.024,0.000000,0.036786,0.238894,0.000000
0.025,0.000000,0.036786,0.238894,0.000000
0.026,0.000000,0.036786,0.238894,0.000000
0.027,0.000000,0.036786,0.238894,0.000000
0.028,0.000000,0.036786,0.238894,0.000000
0.029,0.000000,0.053009,0.238894,0.000000
0.030,0.000000,0.053009,0.238894,0.000000
0.031,0.000000,0.053009,0.238894,0.000000
0.032,0.000000,0.053009,0.238894,0.000000
0.033,0.000000,0.053009,0.238894,0.000000
0.034,0.000000,0.053009,0.238894,0.000000
0.035,0.000000,0.053009,0.238894,0.000000
0.036,0.000000,0.053009,0.238894,0.000000
0.037,0.000000,0.053009,0.238894,0.000000
0.038,0.000000,0.053009,0.238894,0.000000
0.039,0.000000,0.053009,0.238894,0.000000
0.040,0.000000,0.053009,0.238894,0.000000
0.041,0.000000,0.053009,0.238894,0.000000
0.042,0.000000,0.053009,0.238894,0.000000
0.043,0.000000,0.072705,0.238894,0.000000
0.044,0.000000,0.072705,0.238894,0.000000
0.045,0.000000,0.072705,0.238894,0.000000
0.046,0.000000,0.072705,0.238894,0.000000
0.047,0.000000,0.072705,0.238894,0.000000
0.048,0.000000,0.072705,0.238894,0.000000
0.049,0.000000,0.072705,0.238894,0.000000
0.050,0.000000,0.072705,0.238894,0.000000
0.051,0.000000,0.072705,0.238894,0.000000
0.052,0.000000,0.072705,0.238894,0.000000
0.053,0.000000,0.072705,0.238894,0.000000
0.054,0.037118,0.072705,0.238894,0.000000
0.055,0.037118,0.072705,0.238894,0.000000
0.056,0.037118,0.072705,0.238894,0.000000
0.057,0.037118,0.072705,0.238894,0.000000
0.058,0.037118,0.088839,0.238894,0.000000
0.059,0.037118,0.088839,0.238894,0.000000
0.060,0.037118,0.088839,0.238894,0.000000
0.061,0.037118,0.088839,0.238894,0.000000
0.062,0.037118,0.088839,0.238894,0.000000
0.063,0.037118,0.088839,0.238894,0.000000
0.064,0.037118,0.088839,0.238894,0.000000
0.065,0.037118,0.088839,0.238894,0.000000
